SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
963455,OTH,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE OR DIESEL,NO,,
963458,OIL,000000-00-0,,0,GALLON(S),OIL: CRUDE,NO,,
963460,OLB,000000-00-0,,5,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
963461,OUN,000000-00-0,,100,GALLON(S),UNKNOWN OIL,YES,100,GALLON(S)
963462,OMT,000000-00-0,,0.132,GALLON(S),"OIL, MISC: MOTOR",YES,0.132,GALLON(S)
963463,HDS,007783-06-4,,0,UNKNOWN AMOUNT,HYDROGEN SULFIDE,NO,,
963464,BNZ,000071-43-2,,10.15,POUND(S),BENZENE,NO,,
963465,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
963466,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
963467,OMN,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MINERAL",NO,,
963468,NCC,000000-00-0,,315.2,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
963469,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963471,PRP,000000-00-0,,0,UNKNOWN AMOUNT,PROPANE,NO,,
963473,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963475,NCC,000000-00-0,,0,UNKNOWN AMOUNT,TIRES,NO,,
963475,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SMOKE,NO,,
963476,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,NO,,
963477,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
963479,ODS,000000-00-0,,5000,GALLON(S),OIL: DIESEL,YES,4000,GALLON(S)
963481,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963482,OTF,000000-00-0,,2,GALLON(S),"OIL, MISC: TRANSFORMER",UNKNOWN,0,UNKNOWN AMOUNT
963482,PCB,000000-00-0,,0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,UNKNOWN,0,UNKNOWN AMOUNT
963484,OTH,000000-00-0,,125,GALLON(S),MAGGIESOL OIL,YES,0,UNKNOWN AMOUNT
963485,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963486,OTH,000000-00-0,,0.013,BARREL(S),CONDENSATE,YES,0.013,BARREL(S)
963487,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
963488,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963491,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SEWAGE,YES,0,UNKNOWN AMOUNT
963492,OTH,000000-00-0,,33,GALLON(S),OTHER OIL (AVIATION FUEL),YES,0,UNKNOWN AMOUNT
963494,NCC,000000-00-0,,25,GALLON(S),FLYASH,NO,,
963495,OTH,000000-00-0,,1,GALLON(S),OTHER OIL ((VGO) VACUUM GAS OIL,NO,,
963500,ODS,000000-00-0,,1,GALLON(S),OIL: DIESEL,YES,1,GALLON(S)
963501,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
963502,NCC,000000-00-0,,1300,POUND(S),STYRENE MONOMER,NO,,
963503,AMA,007664-41-7,,317,POUND(S),"AMMONIA, ANHYDROUS",NO,,
963504,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963505,OTH,000000-00-0,,14,GALLON(S),GEAR OIL,YES,14,GALLON(S)
963506,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
963507,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963509,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963510,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963512,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
963512,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OILY WASTE,UNKNOWN,0,UNKNOWN AMOUNT
963513,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL (TAR PATTIES),YES,0,UNKNOWN AMOUNT
963515,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
963516,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963518,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963519,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
963519,CSS,000000-00-0,,0,UNKNOWN AMOUNT,CAUSTIC SODA SOLUTION,NO,,
963520,OTF,000000-00-0,,20,GALLON(S),"OIL, MISC: TRANSFORMER",NO,,
963521,GAS,000000-00-0,,10,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
963522,ODS,000000-00-0,,10,BARREL(S),OIL: DIESEL,NO,,
963523,AMA,007664-41-7,,100,POUND(S),"AMMONIA, ANHYDROUS",NO,,
963524,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963525,NCC,000000-00-0,,0,UNKNOWN AMOUNT,WASTE WATER (NON-HAZARDOUS),YES,0,UNKNOWN AMOUNT
963526,NCC,000000-00-0,,0,UNKNOWN AMOUNT,"""PERC"" (DRY CLEANING MATERIAL)",YES,0,UNKNOWN AMOUNT
963529,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
963530,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
963531,OLB,000000-00-0,,1,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
963532,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963533,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963534,OTD,000000-00-0,,600,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
963535,NCC,000000-00-0,,50000,GALLON(S),SPRINKLER WATER,NO,,
963539,ODS,000000-00-0,,250,GALLON(S),OIL: DIESEL,UNKNOWN,0,GALLON(S)
963540,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
963541,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LEAD,NO,,
963542,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",NO,,
963543,OTF,000000-00-0,,125,GALLON(S),"OIL, MISC: TRANSFORMER",YES,120,GALLON(S)
963544,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
963546,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
963547,OTH,000000-00-0,,0,UNKNOWN AMOUNT,PETROLEUM PRODUCT,YES,0,UNKNOWN AMOUNT
963547,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LEAD PRODUCT,NO,0,UNKNOWN AMOUNT
963547,OTH,000000-00-0,,0,UNKNOWN AMOUNT,MBTE (GAS ADDITIVE),YES,0,UNKNOWN AMOUNT
963547,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
963548,BAN,000000-00-0,,1,PINT(S),N-BUTYL ALCOHOL,YES,1,PINT(S)
963550,OTH,000000-00-0,,8,GALLON(S),BILGE MATERIAL,YES,0.5,GALLON(S)
963552,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
963553,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PAINT FUMES,NO,,
963554,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963557,OHY,000000-00-0,,20,GALLON(S),HYDRAULIC OIL,NO,,
963558,OTH,000000-00-0,,0,UNKNOWN AMOUNT,"""COKER"" (WASTE CRUDE OIL)",NO,,
963559,OTH,000000-00-0,,10,GALLON(S),ENGINE OIL,NO,,
963560,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
963561,HFS,000000-00-0,,2188,GALLON(S),HYDROFLUOROSILICIC ACID (23%),YES,2188,GALLON(S)
963562,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963563,NCC,000000-00-0,,326,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
963564,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963565,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,YES,0,UNKNOWN AMOUNT
963566,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963568,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
963570,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
963571,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
963571,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,NO,,
963571,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CLEANING SOLVENTS,NO,,
963572,OTD,000000-00-0,,20,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
963573,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
963574,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963575,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
963576,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
963578,ODS,000000-00-0,,40,GALLON(S),OIL: DIESEL,NO,,
963581,ACY,000075-86-5,,3,GALLON(S),ACETONE CYANOHYDRIN,NO,,
963582,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
963583,ODS,000000-00-0,,200,GALLON(S),OIL: DIESEL,YES,10,GALLON(S)
963584,OIL,000000-00-0,,0.00135,GALLON(S),OIL: CRUDE,YES,0.00135,GALLON(S)
963585,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,YES,0,UNKNOWN AMOUNT
963585,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
