"RESPONSIBLE_COMPANY","Spill_Count_by_company"
"",1
"#5 OIL DOCK MARATHON",1
"A.C.L",1
"A3M VACUUM SERVICE",2
"ACBL",1
"ADM DRAIN",1
"ADM DRAIN COMPANY",1
"AMERICAN COMMERCIAL BARGE LINE",2
"AMERICAN COMMERCIAL BARGE LINES",1
"AMERICAN COMMERCIAL LINES",6
"AMERICAN COMMERICAL LINE ACL",2
"AMERICAN CRUISE LINES",1
"AMERICAN ELECTRIC POWER RIVER OPERATIONS",1
"AMERICAN RIVER TRANSPORT",1
"AMERICAN RIVER TRANSPORTATION COMPANY",3
"AMERICAN RIVER TRANSPORTATION COPANY",1
"AMERICAN STYRENICS",1
"AMERICAN SUGAR REFINING",1
"AMSPEC",1
"APEX",1
"ARCELORMITTAL LAPLACE",1
"ARCO",1
"AXIALL LLC",1
"BARTON CONTRACTORS",1
"BENEINNO GROCERIES",1
"BEVERLY DREDGING",1
"BIG RIVER SHIP BUILDERS",1
"BISSO MARINE COMPANY",1
"BISSO TOW BOAT COMPANY INC",1
"BISSO TOWBOAT CO. INC.",1
"BLESSEY MARINE",1
"BLESSEY MARINE SERVICES",1
"BLUE GRASS MARINE",1
"BOH BROTHERS CONSTRUCTION CO. LLC.",1
"BOLLINGER ALGIERS INC",1
"BOMAC",1
"BOUCHARD",1
"BOUCHARD TRANSPORTATION",1
"C AND J MARINE SERVICES",1
"CALIBRET",1
"CANAL BARGE",1
"CANAL BARGE COMPANY",2
"CARGILL GRAIN ELEVATORS",1
"CARGILL INC",2
"CARLINE",3
"CARLINE FLEET",1
"CARLINE FLEET MANAGEMENT CO.",1
"CARNIVAL",1
"CARNIVAL CRUISE LINE",7
"CARNIVAL CRUISELINES",1
"CARNIVAL ELATION",1
"CELESTIAL",1
"CGB MARINE SERVICES",2
"CHALMETTE REFINERY",1
"CHALMETTE REFINING",5
"CHALMETTE REFINING LLC",22
"CHEM CARRIERS",1
"CHEM CARRIERS LLC.",1
"CHEMBULK TANKERS",1
"CHEMIKALIEN",1
"CHERVON/PHILLIPS",1
"CHERYL K MARINE",1
"CHEVRON ORONITE",1
"CHEVRON ORONITE CO.",1
"CHEVRON ORONITE COMPANY",17
"CHEVRON ORONITE COMPANY LLC",2
"CHEVRON ORONITE COMPANY, LLC",12
"CHEVRON PIPELINE CO.",1
"CHINA SHIPPING DEVELOPMENT",1
"CINOTRANS SHIP MANAGMENT LIMITED",1
"CLIFF BERRY INC.",1
"COLUMBIA SHIP MANAGEMENT",1
"COOPER / PLIMSOIL",1
"COOPER CONSOLIDATED",1
"COOPER DARROW",1
"COOPER T. SMITH",2
"COOPER T. SMITH COMPANY",1
"CORNERSTONE CHEMICAL",2
"COSTCO HONG KONG SHIPPING",1
"COUBILLION GROUP",1
"CRESCENT SHIP SERVICE",3
"CRESCENT SHIP SERVICES",1
"CRESCENT TOWING",3
"CRESENT TOWING",6
"CROSSTEX",1
"CROWLEY MARINE",1
"CST FLEET",1
"DAN OCEAN TOWING",1
"DELTA QUEEN",1
"DIXIE EXPRESS",1
"DOW CHEMICAL",4
"DREDGE OPERATORS INC.",1
"DU PONT",1
"DUNE OPERATING",1
"DUPONT EI",1
"E.N. BISSO & SON INC",1
"E.N. BISSO AND SONS INC.",5
"EBI ELEVATING BOATS LLC",1
"ECONOMY STONE MIDSTREAM FUEL",1
"EI DUPONT",1
"ELMWOOD DRYDOCK & REPAIR",1
"ELOI BAY FACILITY",1
"EMARD TOWING",1
"EMPIRE POAGIE PLAND",1
"ENERGY PARTNERS LIMITED",1
"ENLINK MIDSTREAM",1
"ENTERGY",1
"ENTERGY CORP. WILLOW GLEN PLANT",1
"ENTERPRISE MARINE",1
"ENTERPRISE PRODUCT PIPELINE",1
"ERGON",1
"EVONIK",1
"EXON MOBILE",1
"EXXON CHEMICAL",1
"EXXON MOBIL",19
"EXXON MOBILE",1
"EXXON MOBILE REFINERY",1
"EYMARD BROTHERS TOWING",1
"FCC ENVIRONMENTAL",1
"FML SHIP MANAGEMENT LIMITED",1
"GENCO SHIPPING & TRADING",1
"GENESIS CRUDE OIL",1
"GENESIS ENERGY",2
"GENESIS MARINE",3
"GIBSON SERVICES PAINT CLEANING",1
"GNOTS RESERVE",1
"GNOTS RESERVE AND CORP",1
"GNOTS RESERVE INC",1
"GNOTS RESERVE INC.",2
"GRAMERCY ALUMINUM",1
"GRIFCO TOWING",1
"GSS AVONDALE",1
"HARVEST PIPELINE/ HILCORP",1
"HENRY A",1
"HIGHLAND MARINE",1
"HIGHLAND TOWING LLC.",2
"HIGMAN BARGE LINES",1
"HIGMAN MARINE",1
"HIGMAN MARINE SERVICES",1
"HILCORP ENERGY",2
"HILL CORP ENERGY",2
"HONEYWELL INTL.",1
"HUNTINGTONS INGALLS INCORPORATED",1
"IMTT",1
