SEQNOS,DESCRIPTION_OF_INCIDENT,TYPE_OF_INCIDENT,INCIDENT_CAUSE,INCIDENT_DATE_TIME,INCIDENT_DTG,INCIDENT_LOCATION,LOCATION_ADDRESS,LOCATION_STREET1,LOCATION_STREET2,LOCATION_NEAREST_CITY,LOCATION_STATE,LOCATION_COUNTY,LOCATION_ZIP,DISTANCE_FROM_CITY,DISTANCE_UNITS,DIRECTION_FROM_CITY,LAT_DEG,LAT_MIN,LAT_SEC,LAT_QUAD,LONG_DEG,LONG_MIN,LONG_SEC,LONG_QUAD,LOCATION_SECTION,LOCATION_TOWNSHIP,LOCATION_RANGE,POTENTIAL_FLAG
1200872,"CALLER STATED THEY RECEIVED A REPORT OF A READING OF 2.995 PARTS PER MILLION OF BENZENE BEING DETECTED IN THE MISSISSIPPI RIVER NEAR RIVER MILE MARKER 128.4, DUE TO AN UNKNOWN CAUSE. THERE IS NO SHEEN ON THE WATER, HOWEVER TESTING INSTRUMENTS ARE PROVIDING EVIDENCE OF THE PRESENCE OF BENZENE.",UNKNOWN SHEEN,UNKNOWN,12/31/17 23:09,DISCOVERED,"MISSISSIPPI RIVER, NEAR RIVER MILE MARKER 128.4",,,,HAHNVILLE,LA,ST. CHARLES,,,,,,,,,,,,,,,,N
1200873,"CALLER REPORTED THAT APPROXIMATELY 14.5 MILLION CUBIC FEET OF NATURAL GAS WAS RELEASED TO THE ATMOSPHERE FROM A FAILED BLOW DOWN VALVE ON A COMPRESSOR, AT A GAS COMPRESSOR FACILITY.",FIXED,EQUIPMENT FAILURE,12/31/17 20:47,OCCURRED,SEE LAT AND LONG,,,,CHANNAHON,IL,WILL,,,,,41,27,1,N,88,11,4,W,,,,N
1200875,CALLER REPORTED A PRIVATE SAIL BOAT HAD RUN AGROUND DUE TO OPERATOR ERROR.  THERE IS A POTENTIAL FOR A DISCHARGE OF APPROXIMATELY 40 GALLONS OF DIESEL INTO THE ATLANTIC OCEAN.  THERE WERE NO INJURIES OR FATALITIES REPORTED.  THE 2 INDIVIDUALS ON BOARD THE VESSEL WERE ABLE TO USE A DINGY TO SAFELY GET TO LAND.,VESSEL,VESSEL SINKING,12/31/17 23:00,OCCURRED,SEE LAT AND LONG,,,,HATTERAS,NC,DARE,,,,,35,11,,N,75,45,30,W,,,,Y
1200876,CALLER STATED THAT THEY ARE RESPONDING TO NOTIFICATION OF AN AMMONIA RELEASE. AMOUNT RELEASED IS UNKNOWN,FIXED,UNKNOWN,1/1/18 3:40,DISCOVERED,,3775 ZANE TRACE DR,,,COLUMBUS,OH,FRANKLIN,,,,,,,,,,,,,,,,N
1200878,"CALLER REPORTED THAT AN UNKNOWN AMOUNT OF NATURAL GAS WAS RELEASED TO THE ATMOSPHERE FROM A COMPRESSOR AT AN UNDERGROUND STORAGE FACILITY/TRANSMISSION PIPELINE.  CALLER STATED THE PURPOSE OF THE REPORT IS DUE TO THE FACILITY SHUT DOWN, AS THEY DO NOT BELIEVE THE AMOUNT OF NATURAL GAS RELEASED MEETS THE REPORTABLE QUANITITY.",PIPELINE,EQUIPMENT FAILURE,1/1/18 3:08,OCCURRED,,188 ROSE LAKE RD,,,GENESEE,PA,POTTER,,,,,,,,,,,,,,,,N
1200879,CALLER STATED THAT A TRESPASSER WAS FATALLY STRUCK BY A FREIGHT TRAIN.,RAILROAD NON-RELEASE,TRESPASSER,1/1/18 3:08,OCCURRED,MILE POST: 332.77,,,,POMPANO,FL,BROWARD,,,,,,,,,,,,,,,,N
1200880,CALLER STATED THAT THERE WAS A POWER FLARE WHICH RESULTED IN A RELEASE OF SULFUR DIOXIDE TO THE ATMOSPHERE ABOVE THE REPORTABLE QUANTITY.,FIXED,EQUIPMENT FAILURE,1/1/18 2:36,OCCURRED,,167 SHULER RD,,,EL DORADO,AR,UNION,71730,,,,,,,,,,,,,,,N
1200881,"CALLER STATED THAT A POWER FAILURE CAUSED THE RELEASE OF SULFUR DIOXIDE TO THE ATMOSPHERE ABOVE THE REPORTABLE QUANTITY.  THIS RELEASE WAS CAUSED BY THE SAME POWER FAILURE AS DESCRIBED IN REPORT NUMBER 1200880, HOWEVER THIS RELEASE OCCURRED AT A SEPARATE FACILITY.",FIXED,EQUIPMENT FAILURE,1/1/18 2:36,OCCURRED,,2226 HAYNESVILLE HWY,,,EL DARADO,AR,UNION,,,,,,,,,,,,,,,,N
1200882,CALLER STATED THAT APPROXIMATELY 190 GALLONS OF HEATING OIL WAS DISCHARGED ONTO PAVEMENT FROM A TANKER TRUCK THAT FAILED TO SHUT OFF DURING LOADING OPERATION.  THE DISCHARGE HAS BEEN COMPLETELY CONTAINED IN A SECONDARY CONTAINMENT AREA.,MOBILE,EQUIPMENT FAILURE,1/1/18 4:45,OCCURRED,,37 WURZ AVE,,,UTICA,NY,ONEIDA,13502,,,,,,,,,,,,,,,N
1200883,"CALLER STATED THAT THE LAST 9  RAIL CARS OF A FREIGHT TRAIN DERAILED DUE TO AN UNKNOWN CAUSE.  CALLER STATED THEY DO NOT BELIEVE THE TRAIN WAS CARRYING ANY HAZARDOUS CARGO, AND THAT THERE IS NO POTENTIAL FOR RELEASE OF ANY MATERIALS AT THIS TIME.  THE CALLER DID NOT HAVE THE NUMBERS OR CONTENTS OF THE DERAILED RAIL CARS AT THE TIME OF THIS REPORT.",RAILROAD NON-RELEASE,DERAILMENT,1/1/18 5:00,OCCURRED,"MILE POST: BF270.43, SUBDIVISION: PITTSBURGH",,,,CONNELLSVILLE,PA,FAYETTE,,,,,,,,,,,,,,,,N
