SEQNOS,FIRE_INVOLVED,FIRE_EXTINGUISHED,ANY_EVACUATIONS,NUMBER_EVACUATED,WHO_EVACUATED,RADIUS_OF_EVACUATION,ANY_INJURIES,NUMBER_INJURED,NUMBER_HOSPITALIZED,ANY_FATALITIES,NUMBER_FATALITIES,ANY_DAMAGES,DAMAGE_AMOUNT,AIR_CORRIDOR_CLOSED,AIR_CORRIDOR_DESC,AIR_CLOSURE_TIME,WATERWAY_CLOSED,WATERWAY_DESC,WATERWAY_CLOSURE_TIME,ROAD_CLOSED,ROAD_DESC,ROAD_CLOSURE_TIME,CLOSURE_DIRECTION,MAJOR_ARTERY,TRACK_CLOSED,TRACK_DESC,TRACK_CLOSURE_TIME,MEDIA_INTEREST,MEDIUM_DESC,ADDITIONAL_MEDIUM_INFO,BODY_OF_WATER,TRIBUTARY_OF,NEAREST_RIVER_MILE_MAKER,RELEASE_SECURED,ESTIMATED_DURATION_OF_RELEASE,RELEASE_RATE,DESC_REMEDIAL_ACTION,STATE_AGENCY_ON_SCENE,STATE_AGENCY_REPORT_NUM,OTHER_AGENCY_NOTIFIED,WEATHER_CONDITIONS,AIR_TEMPERATURE,WIND_SPEED,WIND_DIRECTION,WATER_SUPPLY_CONTAMINATED,SHEEN_SIZE,SHEEN_COLOR,DIRECTION_OF_SHEEN_TRAVEL,SHEEN_ODOR_DESCRIPTION,WAVE_CONDITION,CURRENT_SPEED,CURRENT_DIRECTION,WATER_TEMPERATURE,TRACK_CLOSE_DIR,EMPL_FATALITY,PASS_FATALITY,COMMUNITY_IMPACT,WIND_SPEED_UNIT,EMPLOYEE_INJURIES,PASSENGER_INJURIES,OCCUPANT_FATALITY,CURRENT_SPEED_UNIT,ROAD_CLOSURE_UNITS,TRACK_CLOSURE_UNITS,SHEEN_SIZE_UNITS,ADDITIONAL_INFO,STATE_AGENCY_NOTIFIED,FEDERAL_AGENCY_NOTIFIED,NEAREST_RIVER_MILE_MARKER,SHEEN_SIZE_LENGTH,SHEEN_SIZE_LENGTH_UNITS,SHEEN_SIZE_WIDTH,SHEEN_SIZE_WIDTH_UNITS,OFFSHORE,DURATION_UNIT,RELEASE_RATE_UNIT,RELEASE_RATE_RATE,PASSENGERS_TRANSFERRED
1200872,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,MISSISSIPPI RIVER,MISSISSIPPI RIVER,,,U,,,MADE NOTIFICATIONS.,,,,CLEAR,35,,,U,,,,,,,,,,,,,,,,,,,,,,WATER WORKS,,128.4,,,,,N,,,,NO
1200873,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,SHUT DOWN COMPRESSOR. VALVE WAS RESET AND COMPRESSOR WAS RETURNED TO SERVICE.,,,,CLEAR,-4,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200875,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),POTENTIAL TO IMPACT ATLANTIC OCEAN,,,,U,,,USCG WILL SEND PERSONNEL IN THE MORNING.,,,,CLEAR,26,30,N,U,,,,,,,,,,,,,KNTS,,,,,,,,,,USCG,,,,,,N,,,,NO
1200876,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,ATMOSPHERE,,,,N,,,CONDUCTING INITIAL ASSESSMENT OF TO DETERMINE LEAK.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,CALLER STATED THAT THE RELEASE HAS NOT LEFT THE BUILDING.,,,,,,,,N,,,,NO
1200878,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,N,,,MADE NOTIFICATIONS.  ATTEMPTING TO RESTORE THE STATION.,,,,CLEAR,-4,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200879,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,Y,EAST MAIN,3,UNKNOWN,RAIL REPORT (N/A),NON-RELEASE,,,,U,,,LOCAL PD AND EMS RESPONDED.,PD. EMS,,,,,,,U,,,,,,,,,S,0,0,,,,,0,,,,,,,,,,,,,N,,,,NO
1200880,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,ATMOSPHERE,,,,Y,,,EQUIPMENT IS BACK UP AND RUNNING,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200881,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,ATMOSPHERE,,,,Y,,,EQUIPMENT IS BACK UP AND RUNNING,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200882,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,PAVEMENT,,,,Y,,,THE DISCHARGE IS CONTAINED IN SECONDARY CONTAINMENT.,,,,CLEAR,-15,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200883,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,Y,MAIN TRACK,,UNKNOWN,RAIL REPORT (N/A),NON-RELEASE/// DERAILMENT,,,,U,,,HEPACO CLEANING CONTRACTOR IS RESPONDING TO VERIFY THAT THERE ARE NO HAZARDOUS MATERIALS INVOLVED.  THE TRAIN MASTER IS ON SCENE OVERSEEING OPERATIONS.,,,,,,,,U,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200884,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,SOIL,& ASPHALT,,,,Y,,,"* PUMPS WERE SHUT-OFF.
* CLEAN-UP UNDERWAY",,,,CLEAR,15,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200885,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,N,,,CALLER REPORTS AIR MONITORING IS ONGOING WITH NOTHING DETECTED.,,18-00003,,PARTLY CLOUDY,29,18,N,U,,,,,,,,,,,,,MPH,,,,,,,,,LA STATE POLICE,,,,,,,N,,,,NO
