SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1200872,BNZ,000071-43-2,,2.995,PART(S) PER MILLION,BENZENE,YES,2.995,PART(S) PER MILLION
1200873,ONG,000000-00-0,,14.5,MIL CBF,NATURAL GAS,NO,,
1200875,ODS,000000-00-0,,40,GALLON(S),OIL: DIESEL,NO,,
1200876,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1200878,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1200880,SFD,000000-00-0,,1400,POUND(S),SULFUR DIOXIDE,NO,,
1200881,SFD,000000-00-0,,0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
1200882,OTW,000000-00-0,,190,GALLON(S),"OIL, FUEL: NO. 2",NO,,
1200884,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LOW PH WATER,NO,,
1200885,BDI,000000-00-0,,0,UNKNOWN AMOUNT,"1,3 BUTADIENE",NO,,
1200886,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1200887,OIL,000000-00-0,,3,BARREL(S),OIL: CRUDE,YES,3,BARREL(S)
1200888,NTX,11104-93-1,,1041,POUND(S),NOX,NO,,
1200890,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1200891,OUN,000000-00-0,,0.00001,BARREL(S),UNKNOWN OIL,YES,0.00001,BARREL(S)
1200894,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200896,SHD,001310-73-2,,0,UNKNOWN AMOUNT,SODIUM HYDROXIDE,NO,,
1200899,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1200899,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
1200900,NCD,000000-00-0,,1786,POUND(S),NITRIC ACID (70% OR LESS),NO,,
1200901,NCC,000000-00-0,,107,POUND(S),CHIP BIN GASES,NO,,
1200902,NCC,000000-00-0,,0,UNKNOWN AMOUNT,POLYURETHANE,YES,25,GALLON(S)
1200903,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
1200904,OTH,000000-00-0,,2,GALLON(S),OTHER OIL (PIPELINE LIQUIDS),YES,1,CUP(S)
1200905,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1200906,HDS,007783-06-4,,101,POUND(S),HYDROGEN SULFIDE,NO,,
1200907,SFD,000000-00-0,,0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
1200909,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1200910,DCH,000000-00-0,,0,UNKNOWN AMOUNT,"1,1-DICHLOROETHANE",NO,,
1200910,ECL,000075-00-3,,0,UNKNOWN AMOUNT,ETHYL CHLORIDE,NO,,
1200910,VCM,000075-01-4,,0,UNKNOWN AMOUNT,VINYL CHLORIDE,NO,,
1200911,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
1200912,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
1200912,NCC,000000-00-0,,0,UNKNOWN AMOUNT,VOC,NO,,
1200913,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1200914,OTW,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",YES,5,GALLON(S)
1200915,BDI,000000-00-0,,0,UNKNOWN AMOUNT,"1,3 BUTADIENE",NO,,
1200916,NTO,000000-00-0,,2031.07,POUND(S),NITROUS OXIDE,NO,,
1200917,BNZ,000071-43-2,,159.02,POUND(S),BENZENE,NO,,
1200917,BUT,000000-00-0,,8467.6,POUND(S),BUTANE,NO,,
1200917,PRP,000000-00-0,,20136.09,POUND(S),PROPANE,NO,,
1200918,NCC,000000-00-0,,2000,GALLON(S),LEACHATE,YES,0,UNKNOWN AMOUNT
1200919,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
1200921,GAS,000000-00-0,,0.25,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.25,GALLON(S)
1200922,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200923,OOD,000000-00-0,,28,GALLON(S),"OIL, FUEL: NO. 1-D",NO,,
1200925,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200926,OIL,000000-00-0,,6,BARREL(S),OIL: CRUDE,YES,0,UNKNOWN AMOUNT
1200928,SHD,001310-73-2,,1000,GALLON(S),SODIUM HYDROXIDE,NO,,
1200929,ODS,000000-00-0,,20,GALLON(S),OIL: DIESEL,YES,2,GALLON(S)
1200930,NCC,000000-00-0,,3000,GALLON(S),WASTE WATER,NO,,
1200931,OIL,000000-00-0,,5,BARREL(S),OIL: CRUDE,NO,,
1200933,OVG,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, EDIBLE: VEGETABLE",YES,0,UNKNOWN AMOUNT
1200934,JPE,000000-00-0,,8000,GALLON(S),JET FUEL: JP-8,YES,0,UNKNOWN AMOUNT
1200935,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200936,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200938,OIL,000000-00-0,,1,BARREL(S),OIL: CRUDE,NO,,
1200938,OTH,000000-00-0,,15,BARREL(S),OTHER OIL (PRODUCED WATER),YES,2,BARREL(S)
1200939,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SALT WATER,YES,0,UNKNOWN AMOUNT
1200939,OIL,000000-00-0,,1,BARREL(S),OIL: CRUDE,YES,1,BARREL(S)
1200940,OLB,000000-00-0,,10,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
1200941,AMA,007664-41-7,,1089,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1200943,NTX,010102-43-9,,1045,POUND(S),NITRIC OXIDE,NO,,
1200944,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200944,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
1200945,OLB,000000-00-0,,60,GALLON(S),"OIL, MISC: LUBRICATING",UNKNOWN,0,UNKNOWN AMOUNT
