"","SEQNOS","DATE_TIME_RECEIVED","DATE_TIME_COMPLETE","CALLTYPE","RESPONSIBLE_COMPANY","RESPONSIBLE_ORG_TYPE","RESPONSIBLE_CITY","RESPONSIBLE_STATE","RESPONSIBLE_ZIP","SOURCE","DESCRIPTION_OF_INCIDENT","TYPE_OF_INCIDENT","INCIDENT_CAUSE","INCIDENT_DATE_TIME","INCIDENT_DTG","INCIDENT_LOCATION","LOCATION_ADDRESS","LOCATION_STREET1","LOCATION_STREET2","LOCATION_NEAREST_CITY","LOCATION_STATE","LOCATION_COUNTY","LOCATION_ZIP","DISTANCE_FROM_CITY","DISTANCE_UNITS","DIRECTION_FROM_CITY","LAT_DEG","LAT_MIN","LAT_SEC","LAT_QUAD","LONG_DEG","LONG_MIN","LONG_SEC","LONG_QUAD","LOCATION_SECTION","LOCATION_TOWNSHIP","LOCATION_RANGE","POTENTIAL_FLAG","FIRE_INVOLVED","FIRE_EXTINGUISHED","ANY_EVACUATIONS","NUMBER_EVACUATED","WHO_EVACUATED","RADIUS_OF_EVACUATION","ANY_INJURIES","NUMBER_INJURED","NUMBER_HOSPITALIZED","ANY_FATALITIES","NUMBER_FATALITIES","ANY_DAMAGES","DAMAGE_AMOUNT","AIR_CORRIDOR_CLOSED","AIR_CORRIDOR_DESC","AIR_CLOSURE_TIME","WATERWAY_CLOSED","WATERWAY_DESC","WATERWAY_CLOSURE_TIME","ROAD_CLOSED","ROAD_DESC","ROAD_CLOSURE_TIME","CLOSURE_DIRECTION","MAJOR_ARTERY","TRACK_CLOSED","TRACK_DESC","TRACK_CLOSURE_TIME","MEDIA_INTEREST","MEDIUM_DESC","ADDITIONAL_MEDIUM_INFO","BODY_OF_WATER","TRIBUTARY_OF","NEAREST_RIVER_MILE_MAKER","RELEASE_SECURED","ESTIMATED_DURATION_OF_RELEASE","RELEASE_RATE","DESC_REMEDIAL_ACTION","STATE_AGENCY_ON_SCENE","STATE_AGENCY_REPORT_NUM","OTHER_AGENCY_NOTIFIED","WEATHER_CONDITIONS","AIR_TEMPERATURE","WIND_SPEED","WIND_DIRECTION","WATER_SUPPLY_CONTAMINATED","SHEEN_SIZE","SHEEN_COLOR","DIRECTION_OF_SHEEN_TRAVEL","SHEEN_ODOR_DESCRIPTION","WAVE_CONDITION","CURRENT_SPEED","CURRENT_DIRECTION","WATER_TEMPERATURE","TRACK_CLOSE_DIR","EMPL_FATALITY","PASS_FATALITY","COMMUNITY_IMPACT","WIND_SPEED_UNIT","EMPLOYEE_INJURIES","PASSENGER_INJURIES","OCCUPANT_FATALITY","CURRENT_SPEED_UNIT","ROAD_CLOSURE_UNITS","TRACK_CLOSURE_UNITS","SHEEN_SIZE_UNITS","ADDITIONAL_INFO","STATE_AGENCY_NOTIFIED","FEDERAL_AGENCY_NOTIFIED","NEAREST_RIVER_MILE_MARKER","SHEEN_SIZE_LENGTH","SHEEN_SIZE_LENGTH_UNITS","SHEEN_SIZE_WIDTH","SHEEN_SIZE_WIDTH_UNITS","OFFSHORE","DURATION_UNIT","RELEASE_RATE_UNIT","RELEASE_RATE_RATE","PASSENGERS_TRANSFERRED","CHRIS_CODE","CAS_NUMBER","UN_NUMBER","AMOUNT_OF_MATERIAL","UNIT_OF_MEASURE","NAME_OF_MATERIAL","IF_REACHED_WATER","AMOUNT_IN_WATER","UNIT_OF_MEASURE_REACH_WATER","Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"1070",710457,"1/13/04 16:14","1/13/04 16:19","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CALLER STATED THAT WHILE WASHING THE DECK OF AN OFF-SHORE PLATFORM, SOME OIL AND WATER ACCIDENTALLY WASHED INTO THE WATER.","PLATFORM","EQUIPMENT FAILURE","1/13/04 14:15","OCCURRED","SOUTH PASS, BLOCK 72 A","","","","","LA","SOUTH PASS","",NA,"","",NA,NA,NA,"",NA,NA,NA,"","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","N/A",NA,"Y","","","DISSIPATE NATURALLY, REPAIRS MADE","","",NA,"CLEAR",70,5,"SW","N",NA,"BARELY DISCERNIBLE","","","0     CALM",NA,"",63,"",NA,NA,"N","KNTS",NA,NA,NA,"",NA,NA,NA,"CALLER HAD NO ADDITIONAL INFORMATION.","","","","200","FEET","50","FEET","Y","","","","UNK","OMT","000000-00-0",NA,1,"OUNCE(S)","OIL, MISC: MOTOR","YES",1,"OUNCE(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2600",711833,"1/29/04 9:22","1/29/04 9:29","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","A LEVEL SAFETY WAS HIGH IN THE SUMP TANK CAUSING IT TO SHUT IN. THE GUN BARREL DUMPED TO THE SKIM TANK, SKIM DUMPED TO THE SUMP, THE SUMP RAN OVER INTO THE CONTAINMENT SKID,  AND THE SKID SPILLED OVER INTO THE GULF.","PLATFORM","EQUIPMENT FAILURE","1/29/04 4:00","OCCURRED","PLATFORM INCIDENT","BLOCK","","","","LA","SOUTH MARSH ISLAND","",NA,"","",28,51,22,"N",92,6,5,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"N","","","PLATFORM SHUT IN ALL SOURCES STOPPED, PUMPED DOWN THE SUMP.  MATERIAL NON RECOVERABLE.","","",NA,"CLEAR",55,NA,"","N",NA,"","","","",NA,"",NA,"",NA,NA,"N","",NA,NA,NA,"",NA,NA,NA,"WILL NOTIFY MSO MORGAN CITY.","","","","","","","","N","","","","UNK","OIL","000000-00-0",NA,7,"GALLON(S)","OIL: CRUDE","YES",7,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4308",713464,"2/16/04 11:06","2/16/04 11:09","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","MATERIAL RELEASED FROM A CONTAINMENT SKID ON A PLATFORM DUE TO ACCIDENTAL OPERATOR ERROR.","PLATFORM","OPERATOR ERROR","2/16/04 9:00","OCCURRED","PLATFORM INCIDENT","","","","","LA","SOUTH MARSH ISLAND","",NA,"","",28,51,25,"N",92,6,5,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"Y","","","DISSIPATE NATURALLY","","",NA,"CLEAR",60,20,"N","N",NA,"SILVERY","WNW","","3     MODERATE (3 - 5 FT)",1,"WNW",66,"",NA,NA,"N","MPH",NA,NA,NA,"KNTS",NA,NA,NA,"CALLER WILL NOTIFY USCG.","","","",".5","MILES","20","YARDS","Y","SECOND","","","UNK","NCC","000000-00-0",NA,0.01,"BARREL(S)","SAND AND SLUDGE","YES",0.01,"BARREL(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12499",721213,"5/10/04 9:05","5/10/04 9:12","INC","TAYLOR ENERGY CO.","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","THE CALLER STATED THAT THERE WAS SPOTS OF OIL COMING FROM UNDERNEATH THE PLATFORM","PLATFORM","UNKNOWN","5/10/04 7:00","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON","",NA,"","",28,56,16,"N",88,58,15,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","","GULF OF MEXICO","",NA,"Y","","","PLATFORM WAS SHUT IN","","",NA,"SUNNY",NA,NA,"","N",NA,"SILVERY","","","3     MODERATE (3 - 5 FT)",1,"WNW",NA,"",NA,NA,"N","",NA,NA,NA,"KNTS",NA,NA,NA,"THE CALLER HAD NO ADDITIONAL INFORMATION","","","",".04","MILES",".004","MILES","Y","","","","UNK","OUN","000000-00-0",NA,0,"UNKNOWN AMOUNT","UNKNOWN OIL","YES",0,"UNKNOWN AMOUNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18520",727110,"7/3/04 14:18","7/3/04 14:30","INC","TAYLOR ENERGY CO.","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","DIVERS WERE INSPECTING THE SUMP.  THEY CHIPPED OFF GROWTH THAT WAS INSIDE THE SUMP CAUSING A RELEASE OF AN UNKNOWN MATERIAL INTO THE WATER.","PLATFORM","OTHER","7/3/04 11:45","OCCURRED","MISSISSIPPI CANYON 20, FACILITY A","","","","VENICE","LA","PLAQUEMINES","",NA,"","",NA,NA,NA,"",NA,NA,NA,"","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"Y","","","DIVERS MOVED OUT OF THE AREA, AREA SHUT IN","","",NA,"CLEAR",89,NA,"","N",NA,"SILVERY","","","",1,"S",84,"",NA,NA,"N","",NA,NA,NA,"KNTS",NA,NA,NA,"NONE","","","",".09","MILES",".009","MILES","N","","","","UNK","UNK","000000-00-0",NA,4.6,"GALLON(S)","UNKNOWN MATERIAL","YES",4.6,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26497",735409,"9/17/04 12:49","9/17/04 12:54","INC","TAYLOR ENERGY CO.","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CRUDE OIL RELEASED FROM AN OFFSHORE PLATFORM DUE TO PLATFORM WAS LOST OR MISSING DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","9/17/04 11:00","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON","",NA,"","",28,56,16,"N",88,58,29,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"N","","","NOT AT THIS TIME","","",NA,"CLEAR",NA,NA,"","N",NA,"BARELY DISCERNIBLE","SW","","0     CALM",NA,"",NA,"",NA,NA,"N","",NA,NA,NA,"",NA,NA,NA,"CALLER WILL NOTIFY CG.","","","","4","MILES","50","FEET","Y","","","","UNK","OIL","000000-00-0",NA,0.23,"GALLON(S)","OIL: CRUDE","YES",0.23,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28168",737130,"10/2/04 9:32","10/2/04 9:42","INC","TAYLOR ENERGY CO.","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","REPORT OF A SHEEN DISCOVERED IN THE GULF OF MEXICO COMING FROM A PLATFORM.","UNKNOWN SHEEN","UNKNOWN","10/2/04 7:00","OCCURRED","PLATFORM IN GULF OF MEXICO","LAT 28-51.22 N","LONG 92-06.05 W","","","LA","SOUTH MARSH ISLAND","",NA,"","",NA,NA,NA,"",NA,NA,NA,"","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","","GULF OF MEXICO","",NA,"Y","","","PLATFORM SHUT IN","","",NA,"CLEAR",82,2,"ESE","N",NA,"BARELY DISCERNIBLE","","","2     SLIGHT (1 - 3 FT)",1,"W",80,"",NA,NA,"N","MPH",NA,NA,NA,"",NA,NA,NA,"SHEEN COVERAGE: 65%","","","","2.5","MILES","1","MILES","Y","","","","UNK","OTH","000000-00-0",NA,41,"GALLON(S)","OTHER OIL","NO",41,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30926",740024,"10/31/04 8:16","10/31/04 8:25","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","REPORT OF A SHEEN ON THE WATER. A FIRE OCCURRED ON THE TOP DECK OF THE PLATFORM. THE FIRE CAUSED SOME HAZMAT TO DISCHARGE FROM ITS CONTAINERS.","PLATFORM","UNKNOWN","10/31/04 1:55","OCCURRED","GULF OF MEXICO","LAT 28-37.04 N","LONG 92-04.10 W","","","LA","SOUTH MARSH ISLAND","",NA,"","",NA,NA,NA,"",NA,NA,NA,"","","","","","Y","Y","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","","","",NA,"Y","","","PLATFORM SHUT IN","","",NA,"CLEAR",75,5,"ESE","U",NA,"","","","",NA,"",NA,"",NA,NA,"N","KNTS",NA,NA,NA,"",NA,NA,NA,"SHEEN SIZE WAS RECOREDED AT 1.5 MILES LONG BY .25 MILE WIDE, 75 % COVERAGE, 100% BRIGHTLY COLORED","","","","","","","","N","","","","UNK","UNK","000000-00-0",NA,58,"GALLON(S)","UNKNOWN CHEMICALS & OIL","NO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36241",745380,"12/27/04 8:56","12/27/04 9:01","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER STATED THERE WAS A RELEASE OF MATERIALS FROM AN OFFSHORE PLATFORM DUE TO A FAULTY CONTROL ON THE VALVE","PLATFORM","EQUIPMENT FAILURE","12/27/04 7:30","OCCURRED","PLATFORM INCIDENT","GULF OF MEXICO","","","","LA","SOUTH MARSH ISLAND","",NA,"","",28,37,4,"N",92,4,10,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"Y","","","NONE","","",NA,"CLEAR",47,NA,"","U",NA,"SILVERY","","","",NA,"",NA,"",NA,NA,"N","",NA,NA,NA,"",NA,NA,NA,"NONE","NONE","NONE","","1","MILES","300","FEET","Y","","","","UNK","OIL","000000-00-0",NA,1.49,"GALLON(S)","OIL: CRUDE","YES",1.49,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49523",758643,"5/13/05 15:57","5/13/05 16:00","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CRUDE OIL SPILLED INTO THE GULF OF MEXICO FROM A BULK OIL PIPELINE.","PIPELINE","UNKNOWN","5/13/05 13:00","OCCURRED","","SOUTH MARSH ISLAND BLOCK 72","PLATFORM C","","","LA","SOUTH MARSH ISLAND","",NA,"","",28,35,1,"N",92,6,39,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"U","","","DISSIPATE NATURALLY","","",NA,"CLEAR",85,5,"ESE","N",NA,"BARELY DISCERNIBLE","","","1     SMOOTH ( < 1 FT)",1,"WSW",NA,"",NA,NA,"N","KNTS",NA,NA,NA,"KNTS",NA,NA,NA,"NONE","","","",".7","MILES",".3","MILES","Y","","","","UNK","OIL","000000-00-0",NA,0.23,"BARREL(S)","OIL: CRUDE","YES",0.23,"BARREL(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
